label,area
1,8151.0
2,11722.0
3,29947.0
4,1.0
5,280.0
6,2176.0
7,15843.0
8,1775.0
9,1445.0
10,9196.0
11,3820.0
12,3044.0
13,7256.0
14,14217.0
15,1.0
16,1996.0
17,1209.0
18,1.0
19,4568.0
20,1.0
21,3510.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1585.0
27,1.0
28,2.0
29,8269.0
30,1.0
31,1151.0
32,2.0
33,2.0
34,2.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,2972.0
42,2026.0
43,1.0
44,2.0
45,4038.0
46,1549.0
47,1.0
48,945.0
49,2645.0
50,1.0
51,1.0
52,1.0
53,1.0
54,2.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,7.0
61,2.0
62,1.0
63,1.0
64,1.0
65,2.0
66,511.0
67,5768.0
68,1.0
69,1.0
70,6401.0
71,1.0
72,409.0
73,1.0
74,1.0
75,1761.0
76,1.0
77,1469.0
78,6985.0
79,1.0
80,716.0
81,2.0
82,1788.0
83,1.0
84,1.0
85,1.0
86,1.0
87,8917.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,6.0
94,1.0
95,1.0
96,1.0
97,541.0
98,1341.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,758.0
111,1.0
112,1995.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1838.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,3039.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,28.0
144,1.0
145,550.0
146,2019.0
147,1136.0
148,1.0
149,9201.0
150,442.0
151,1.0
152,6.0
153,6819.0
154,1171.0
155,2650.0
156,5178.0
157,1.0
158,1161.0
159,1.0
160,58.0
161,2269.0
162,1.0
163,1914.0
164,1.0
165,7.0
166,1.0
167,18.0
168,805.0
169,1217.0
170,2.0
171,1.0
172,9.0
173,1133.0
174,1.0
175,24.0
176,1.0
177,11.0
178,1.0
179,1093.0
180,1.0
181,1.0
182,1.0
183,1.0
184,584.0
185,465.0
186,1.0
187,2.0
188,1.0
189,992.0
190,2.0
191,4203.0
192,2802.0
193,1.0
194,1.0
195,1185.0
196,1.0
197,1.0
198,2.0
199,2.0
200,1986.0
201,1.0
202,1.0
203,4.0
204,6.0
205,1.0
206,1.0
207,2.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,3782.0
215,1.0
216,1.0
217,1.0
218,1.0
219,370.0
220,1.0
221,1.0
222,1.0
223,5731.0
224,2.0
225,1.0
226,8099.0
227,1.0
228,1.0
229,1.0
230,12.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,4.0
239,1.0
240,1.0
241,1.0
242,1.0
243,2.0
244,1.0
245,1.0
246,1.0
247,2.0
248,1.0
249,1.0
250,1.0
251,1.0
252,2.0
253,4.0
254,2.0
255,2.0
256,4.0
257,1.0
258,2.0
259,9.0
260,4.0
261,1.0
262,4.0
263,1.0
264,1.0
265,1.0
266,854.0
267,1.0
268,1.0
269,1.0
270,2.0
271,1520.0
272,1.0
273,1.0
274,1.0
275,1.0
276,2.0
277,2.0
278,4.0
279,4.0
280,1.0
281,4.0
282,1.0
283,1203.0
284,1.0
285,1.0
286,1.0
287,1.0
288,1.0
289,1.0
290,2.0
291,10.0
292,2.0
293,764.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,1.0
305,2.0
306,2.0
307,1.0
308,2.0
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,1.0
315,1.0
316,614.0
317,1.0
318,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
331,2.0
332,2.0
333,2.0
334,4.0
335,6.0
336,1.0
337,1.0
338,1.0
339,2.0
340,1.0
341,1.0
342,2.0
343,2.0
344,1.0
345,1.0
346,1.0
347,2.0
348,1.0
349,1.0
350,1.0
351,6732.0
352,1.0
353,1.0
354,2.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,2.0
365,2.0
366,2.0
367,4.0
368,4.0
369,1.0
370,1.0
371,1.0
372,1.0
373,1.0
374,1.0
375,1.0
376,2.0
377,1.0
378,389.0
379,2.0
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
385,1.0
386,4.0
387,1.0
388,1.0
389,1.0
390,3.0
391,2.0
392,2.0
393,1.0
394,2.0
395,2.0
396,2.0
397,4.0
398,4.0
399,13.0
400,1.0
401,1.0
402,2.0
403,1.0
404,1.0
405,1.0
406,1.0
407,1.0
408,1.0
409,2.0
410,1.0
411,1.0
412,2.0
413,1.0
414,1.0
415,1.0
416,2.0
417,2.0
418,8.0
419,4.0
420,19.0
421,2.0
422,1.0
423,2.0
424,1.0
425,1.0
426,2.0
427,1.0
428,1.0
429,5.0
430,1.0
431,1.0
432,1.0
433,1.0
434,1.0
435,1.0
436,2.0
437,1.0
438,2.0
439,2.0
440,3.0
441,2.0
442,2.0
443,2.0
444,3.0
445,2.0
446,2.0
447,1.0
448,2.0
449,25.0
450,1.0
451,1.0
452,6.0
453,1.0
454,2.0
455,1.0
456,1.0
457,2.0
458,3.0
459,2.0
460,1053.0
461,4.0
462,1.0
463,1.0
464,1.0
465,1.0
466,469.0
467,1.0
468,1.0
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
474,1905.0
475,1.0
476,1.0
477,1.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
484,1.0
485,1.0
486,924.0
487,3.0
488,2.0
489,1.0
490,1.0
491,3.0
492,6.0
493,2.0
494,18.0
495,1.0
496,1.0
497,8.0
498,2.0
499,1.0
500,2.0
501,1.0
502,3.0
503,5.0
504,4.0
505,3.0
506,4.0
507,1.0
508,1.0
509,1.0
510,1.0
511,1.0
512,1.0
513,1.0
514,1.0
515,1.0
516,1.0
517,1.0
518,1.0
519,5710.0
520,1.0
521,1.0
522,2.0
523,1.0
524,2.0
525,1.0
526,2.0
527,1.0
528,3.0
529,2.0
530,2.0
531,20.0
532,2252.0
533,10.0
534,4.0
535,2.0
536,1.0
537,2.0
538,2.0
539,4.0
540,11.0
541,2.0
542,2.0
543,2.0
544,2.0
545,1.0
546,1.0
547,1.0
548,1.0
549,1.0
550,1.0
551,1.0
552,2.0
553,1.0
554,1.0
555,2.0
556,1.0
557,2.0
558,3.0
559,1.0
560,2.0
561,3314.0
562,1.0
563,4.0
564,2.0
565,1.0
566,1.0
567,2.0
568,2.0
569,3.0
570,3.0
571,2.0
572,2.0
573,2.0
574,1.0
575,1.0
576,1.0
577,1.0
578,1.0
579,1.0
580,1.0
581,1.0
582,1.0
583,1.0
584,1.0
585,1.0
586,1.0
587,1393.0
588,1.0
589,2.0
590,2.0
591,4.0
592,1.0
593,2.0
594,2.0
595,1.0
596,1.0
597,1.0
598,3.0
599,1.0
600,1.0
601,1.0
602,1.0
603,1.0
604,1.0
605,1.0
606,2.0
607,2.0
608,1.0
609,3.0
610,1.0
611,1.0
612,2.0
613,6.0
614,3.0
615,4.0
616,2.0
617,2.0
618,2.0
619,2.0
620,1.0
621,1068.0
622,1.0
623,2.0
624,2.0
625,3.0
626,1.0
627,3.0
628,6.0
629,4.0
630,2.0
631,1.0
632,1.0
633,2.0
634,2203.0
635,2.0
636,1.0
637,1.0
638,1.0
639,1.0
640,2.0
641,3.0
642,4.0
643,1.0
644,2.0
645,2.0
646,1.0
647,1.0
648,1.0
649,1.0
650,1.0
651,1.0
652,1.0
653,1.0
654,1.0
655,1.0
656,1.0
657,1.0
658,1.0
659,3.0
660,1.0
661,3.0
662,876.0
663,3.0
664,1.0
665,1.0
666,1.0
667,16.0
668,2.0
669,1.0
670,2.0
